id,display_title,attempted_main,conflict_display_title
0c7aaab6-2af0-47a8-9680-8801f609b420,ARTBAT - We Are The People,Empire Of The Sun,empire of the sun - we are the people
c8f6cb7d-8ff3-4890-b35e-0397bbb47a20,Atarashii Gakko! - Some Type Of Skin,AURORA,aurora - some type of skin
b2bd89e6-ef1d-4bab-a0cb-03d521f7c1ab,Baker Boy - Take Me To The Beach,Imagine Dragons,imagine dragons - take me to the beach
8c05b399-8175-48fc-bd31-5c1c9c568dc0,Bassnectar - Rez,Underworld,underworld - rez
f42f4a16-1240-4a4e-8c15-66f28b3f3ac1,BELPierre de Maere - These Walls,Dua Lipa,dua lipa - these walls
7cba8902-fa9c-4334-8790-302224e7d4df,Billy Ray Cyrus - Old Town Road,Lil Nas X,lil nas x - old town road
fcc6171c-a005-48ab-b04f-a6eee9dda8cd,Brieanna Grace - Beautiful Places,Tiësto,tiësto - beautiful places
6e5b5b02-90f7-4dd4-b456-2bd07624656e,CHUNG HA - Hair Down,thuy,thuy - hair down
ff4a06e1-2c0b-42df-b6dc-f1a06b5e8752,Courtney LaPlante - My House,PVRIS,pvris - my house
8ae26eec-33c7-49a6-9541-a713e2cc97b7,Don Diablo - Deeper Underground,Jamiroquai,jamiroquai - deeper underground
77d78ad4-6a5f-4b1e-98c6-24e696ee8256,ENNY - You Never Visit Me,Masego,masego - you never visit me
dce3ac55-8458-4fdc-b466-5474364cc007,Fabolous - Link Up,Ne-Yo,ne-yo - link up
f73e8f06-7d3e-4d54-9a9f-edc435eebb96,Francesco Yates - Sugar,Robin Schulz,robin schulz - sugar
22099a0e-7c4c-4367-94b0-907278bd3a2d,George Clanton - Us Ephemeral,Vitesse X,vitesse x - us ephemeral
60027983-abd9-4b85-a3e0-690045e65c0b,goddard. - Stereo,Moby,moby - stereo
511b7195-927e-4a0f-8ea8-98b62f50ad44,Good Charlotte - Bedroom Posters,Yellowcard,yellowcard - bedroom posters
f0c6b295-4c69-4454-9489-a351b0f2e38e,Grimes - Image,Magdalena Bay,magdalena bay - image
50caaabc-e7c7-44e1-aa41-32e0953cfe48,Gryffin - Save My Love,Kygo,kygo - save my love
fb61c08d-3971-488e-83e2-ab7bf61e743b,Gyakie - No Bad Vibes,Jazzy,jazzy - no bad vibes
ea525b44-5ea1-4524-abf2-ffa28241075e,Jamie xx - Dopamine,Robyn,robyn - dopamine
992e24fb-2637-44b2-a76c-1bd574d71575,JENNIE - Dracula,Tame Impala,tame impala - dracula
d6a8b8d1-f220-420f-bb6f-165496c7f70c,Lauv - My Stupid Heart,Walk Off The Earth,walk off the earth - my stupid heart
c1376d80-ad20-4bc9-9fbc-68e848474dc8,Mariah Carey - Made For Me,Muni Long,muni long - made for me
5b8801bd-0942-45c6-9c66-f9d64e268a6d,Mark Ronson - I'm Just Ken,Ryan Gosling,ryan gosling - i'm just ken
b18ea827-8245-45a9-8c37-5f503437ba29,Mousse T. - Catch The Beat,T Ski Valley,t ski valley - catch the beat
098bb271-fced-4e0e-8729-66d7de939c8b,Nia Archives - Illegal,PinkPantheress,pinkpantheress - illegal
dd92bcab-8cd6-446c-b6d9-014741a82eb5,Phantogram - Black Ice,Subtronics,subtronics - black ice
1b681ffa-92a2-438c-a10a-62dd374804be,The Smashing Pumpkins - Zombie,yungblud,yungblud - zombie
7bf03886-656a-4538-9e75-ec1c56075050,Travis Scott - Water,Tyla,tyla - water
