id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,spotify_artists,slug_candidates
4ccfc716-dc79-4be8-846a-99929bb0a901,$UICIDEBOY$ - 12 Gauge,$UICIDEBOY$,12 Gauge,uicideboy,12-gauge,"$uicideboy$, KirbLaGoop",uicideboy/12-gauge; kirblagoop/12-gauge
61fc2f59-039e-46b8-b1d3-ab7648ff6b01,070 Shake - True Love,070 Shake,True Love,070-shake,true-love,"Christine and the Queens, 070 Shake",070-shake/true-love; christine/true-love
d36757cf-4161-4395-b014-7e506ea34e7c,50 Cent - Payback,50 Cent,Payback,50-cent,payback,"Lloyd Banks, 50 Cent",50-cent/payback; lloyd-banks/payback
2c81dcc5-1701-4e0a-a98a-f4dd3bbd440a,6ix9ine - Swervin,6ix9ine,Swervin,6ix9ine,swervin,"A Boogie Wit da Hoodie, 6ix9ine",6ix9ine/swervin; boogie-wit-da-hoodie/swervin
0145658f-4da9-493c-846d-82dd567fd9ba,6LACK - Dilemma,6LACK,Dilemma,6lack,dilemma-3,"Nelly, Kelly Rowland",6lack/dilemma-3; nelly/dilemma-3; kelly-rowland/dilemma-3
bd94b783-ec7f-4ec6-b09d-d0b350dd4550,albert hammond jr - Another Hit Of Showmanship,albert hammond jr,Another Hit Of Showmanship,albert-hammond-jr,another-hit-of-showmanship,"ザ・ストラッツ, アルバート・ハモンドJr.",albert-hammond-jr/another-hit-of-showmanship; jr/another-hit-of-showmanship
f2c0de67-26ee-48fb-b473-cc82beb6bfdd,Amaranthe - Do Or Die,Amaranthe,Do Or Die,,,"Amaranthe, Angela Gossow",amaranthe/do-or-die; angela-gossow/do-or-die
b375d9cb-511a-4973-a03a-d1274ffc972b,Anderson .Paak - Poetry In Motion,Anderson .Paak,Poetry In Motion,anderson-paak,poetry-in-motion-2,"SiR, Anderson .Paak",anderson-paak/poetry-in-motion-2; sir/poetry-in-motion-2
ed4595c4-c856-44a2-8fd7-ac5e0e3a7417,Ann Wilson - Don't Tell Me,Ann Wilson,Don't Tell Me,ann-wilson,dont-tell-me-5,"Disturbed, Ann Wilson",ann-wilson/dont-tell-me-5; disturbed/dont-tell-me-5
5e78a8c2-c982-4868-8a51-84a8c5253fda,"Apple Music - Estelle: “American Boy""",Apple Music,"Estelle: “American Boy""",,,"Estelle, Kanye West",apple-music/estelle-american-boy; estelle/estelle-american-boy; kanye-west/estelle-american-boy
ef88a45c-274d-4082-a458-b2293454d34c,Armin van Buuren - Offshore,Armin van Buuren,Offshore,armin-van-buuren,offshore,"ArminvanBuuren,AVIRA,Chicane",armin-van-buuren/offshore; arminvanbuuren/offshore
757d09c7-36b1-411f-af74-062228cd55c2,Artemas - Mustang Baby,Artemas,Mustang Baby,artemas,mustang-baby-%e2%98%86,"Nessa Barrett, Artemas",artemas/mustang-baby-%e2%98%86; nessa-barrett/mustang-baby-%e2%98%86
76168140-4477-44c5-9b9f-8fc82daf2a71,Atarashii Gakko! - '나란히 나란히 Narani Narani',Atarashii Gakko!,'나란히 나란히 Narani Narani',atarashii-gakko,%eb%82%98%eb%9e%80%ed%9e%88-%eb%82%98%eb%9e%80%ed%9e%88-narani-narani,"Balming Tiger, ATARASHII GAKKO!",atarashii-gakko/%eb%82%98%eb%9e%80%ed%9e%88-%eb%82%98%eb%9e%80%ed%9e%88-narani-narani; balming-tiger/%eb%82%98%eb%9e%80%ed%9e%88-%eb%82%98%eb%9e%80%ed%9e%88-narani-narani
4e200cb7-c361-4a3d-b677-6fe9c02334b8,ATSMXN - Winter Memories,ATSMXN,Winter Memories,atsmxn,winter-memories,"VØJ, ATSMXN",atsmxn/winter-memories; v-j/winter-memories
68199696-1fac-4620-9e8d-97c781939d6f,Avalon - Log Off,Avalon,Log Off,,,"PlaqueBoyMax, Bryson Tiller",avalon/log-off; plaqueboymax/log-off; bryson-tiller/log-off
ff5c6159-d7c3-4132-9158-9a5947677d48,Baby Keem - Leavemealone,Baby Keem,Leavemealone,baby-keem,leavemealone-2,"Fred again.., Baby Keem",baby-keem/leavemealone-2; fred-again/leavemealone-2
d5d53eb9-bfbf-4ddd-8bcc-95e4854819f7,BAD OMENS - Anything ＞ Human,BAD OMENS,Anything ＞ Human,bad-omens,anything-%ef%bc%9e-human,"Bad Omens, ERRA",bad-omens/anything-%ef%bc%9e-human; erra/anything-%ef%bc%9e-human
958a4035-52a4-4e21-a4d9-f7801ed90e8f,Badlands - Dreams In The Dark,Badlands,Dreams In The Dark,,,"The Velvet Underground, Nico",badlands/dreams-in-the-dark; velvet-underground/dreams-in-the-dark; nico/dreams-in-the-dark
9b4b0a3e-caa4-4d90-bd5a-87b7ec82ce7c,BARBZ - ⁠⁠Butterflies,BARBZ,⁠⁠Butterflies,barbz,%e2%81%a0%e2%81%a0butterflies,"Martin Garrix, Matisse & Sadko, BARBZ",barbz/%e2%81%a0%e2%81%a0butterflies; martin-garrix/%e2%81%a0%e2%81%a0butterflies
495453f4-fdd0-48f1-9edf-8d29843ce4df,Bastille - Head Down,Bastille,Head Down,bastille,head-down,"ロスト・フリクエンシーズ, Bastille",bastille/head-down
d0c93f08-5b32-41d6-9042-16fd5fc45cc0,Be No Rain - Almost Like The Rain,Be No Rain,Almost Like The Rain,be-no-rain,almost-like-the-rain,"KAS:ST, Be No Rain",be-no-rain/almost-like-the-rain; kas-st/almost-like-the-rain
4358deff-5a69-41c0-ad76-20a439cf0211,Becky Hill - Run,Becky Hill,Run,becky-hill,run,"BeckyHill,Galantis",becky-hill/run; beckyhill/run
