id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,resolved_artist_slug,resolved_song_slug,original_release_date,json_url
aff3a1af-08c0-42ff-861d-22a8032db0c1,††† (Crosses) - Invisible Hand,††† (Crosses),Invisible Hand,%e2%80%a0%e2%80%a0%e2%80%a0-crosses,invisible-hand,%e2%80%a0%e2%80%a0%e2%80%a0-crosses,invisible-hand,2023-08-03,https://storage.googleapis.com/music8-json-prod/data/songs/%e2%80%a0%e2%80%a0%e2%80%a0-crosses_invisible-hand.json
ea6b93f9-a924-4881-b02b-fee319f88c1b,+J Balvin - Jump,+J Balvin,Jump,j-balvin,jump-7,j-balvin,jump-7,2026-03-05,https://storage.googleapis.com/music8-json-prod/data/songs/j-balvin_jump-7.json
4ccfc716-dc79-4be8-846a-99929bb0a901,$UICIDEBOY$ - 12 Gauge,$UICIDEBOY$,12 Gauge,uicideboy,12-gauge,uicideboy,12-gauge,2024-12-23,https://storage.googleapis.com/music8-json-prod/data/songs/uicideboy_12-gauge.json
13837df0-dfa9-4f22-9c13-4d076c2c356c,03 Greedo - Cubicle,03 Greedo,Cubicle,03-greedo,cubicle,03-greedo,cubicle,2019-02-12,https://storage.googleapis.com/music8-json-prod/data/songs/03-greedo_cubicle.json
c4e9ed5b-b3ee-4535-8b94-cf11fcfb627b,070 Shake - Escapism.,070 Shake,Escapism.,070-shake,escapism,070-shake,escapism,2022-11-09,https://storage.googleapis.com/music8-json-prod/data/songs/070-shake_escapism.json
61fc2f59-039e-46b8-b1d3-ab7648ff6b01,070 Shake - True Love,070 Shake,True Love,070-shake,true-love,070-shake,true-love,2023-04-17,https://storage.googleapis.com/music8-json-prod/data/songs/070-shake_true-love.json
fafd4c68-db95-4c14-b7e1-9c51628be4fd,070 Shake - Use Me,070 Shake,Use Me,070-shake,use-me,070-shake,use-me,2020-08-27,https://storage.googleapis.com/music8-json-prod/data/songs/070-shake_use-me.json
9b3fdd45-9220-4c7c-a304-f84d6b4511c7,1991 - Chop Dem Down,1991,Chop Dem Down,1991,chop-dem-down,1991,chop-dem-down,2025-08-21,https://storage.googleapis.com/music8-json-prod/data/songs/1991_chop-dem-down.json
c927ae1c-b5e7-4dfe-b5af-55af25db4bd3,2 Chainz - Trampoline,2 Chainz,Trampoline,2-chainz,trampoline-2,2-chainz,trampoline-2,2013-07-29,https://storage.googleapis.com/music8-json-prod/data/songs/2-chainz_trampoline-2.json
c60891c6-5f87-4c0d-a511-2385721cd585,21 Savage - Both,21 Savage,Both,21-savage,both,21-savage,both,2023-08-30,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_both.json
70d36858-7b85-4d0c-b842-2bb000be55bf,21 Savage - Creepin',21 Savage,Creepin',21-savage,creepin,21-savage,creepin,2022-12-01,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_creepin.json
5e7d438d-be7a-4ffd-a163-c21db264cd9b,21 Savage - Good Good,21 Savage,Good Good,21-savage,good-good,21-savage,good-good,2023-08-22,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_good-good.json
97d428a1-f572-4fb6-b9b7-e467b00e479d,21 Savage - Jimmy Cooks,21 Savage,Jimmy Cooks,21-savage,jimmy-cooks,21-savage,jimmy-cooks,2022-06-17,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_jimmy-cooks.json
1b91b2b5-cba1-434a-babe-f49ea0e46aa6,21 Savage - Knife Talk,21 Savage,Knife Talk,21-savage,knife-talk,21-savage,knife-talk,2021-09-02,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_knife-talk.json
52fd9c6e-e399-4033-82ab-04840a5a4f47,21 Savage - New Money,21 Savage,New Money,21-savage,new-money,21-savage,new-money,2022-06-30,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_new-money.json
01363a79-28a2-4668-8d2a-eef61f6c0e75,21 Savage - R U That,21 Savage,R U That,21-savage,r-u-that,21-savage,r-u-that,2022-03-10,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_r-u-that.json
fbb04689-f987-43f4-b2e1-9841c155c6d4,21 Savage - Rich Flex,21 Savage,Rich Flex,21-savage,rich-flex,21-savage,rich-flex,2022-11-04,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_rich-flex.json
c1f8b561-84d3-4ee4-be18-db1eb3f12663,21 Savage - Show Me Love,21 Savage,Show Me Love,21-savage,show-me-love-2,21-savage,show-me-love-2,2019-11-07,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_show-me-love-2.json
e305b305-18c2-4130-ab13-366c6256fb30,21 Savage - Topia Twins,21 Savage,Topia Twins,21-savage,topia-twins,21-savage,topia-twins,2024-01-05,https://storage.googleapis.com/music8-json-prod/data/songs/21-savage_topia-twins.json
3138d62e-5238-499d-84a8-38f8126dd0ad,22Bullets - Mami,22Bullets,Mami,22bullets,mami,22bullets,mami,2024-09-05,https://storage.googleapis.com/music8-json-prod/data/songs/22bullets_mami.json
64a15903-78ab-443c-8800-fda8bf2eba60,24kGoldn - It's A Feeling,24kGoldn,It's A Feeling,24kgoldn,its-a-feeling,24kgoldn,its-a-feeling,2024-07-22,https://storage.googleapis.com/music8-json-prod/data/songs/24kgoldn_its-a-feeling.json
84ca6397-a11f-4c5a-9186-ece6bbc3b2f6,24kGoldn - Oh My Lord,24kGoldn,Oh My Lord,24kgoldn,oh-my-lord,24kgoldn,oh-my-lord,2022-06-09,https://storage.googleapis.com/music8-json-prod/data/songs/24kgoldn_oh-my-lord.json
529c248c-af50-4cea-a3cb-24a53b885d21,24kGoldn - Overthinking,24kGoldn,Overthinking,24kgoldn,overthinking,24kgoldn,overthinking,2022-05-19,https://storage.googleapis.com/music8-json-prod/data/songs/24kgoldn_overthinking.json
9f78003f-76df-4668-8418-1ec5f4d78137,2WEI - Down With The Wolves,2WEI,Down With The Wolves,2wei,down-with-the-wolves,2wei,down-with-the-wolves,2024-03-21,https://storage.googleapis.com/music8-json-prod/data/songs/2wei_down-with-the-wolves.json
9df0eb8a-e26f-4069-9b65-205b73812bad,3rd Wall - Crush Me Down,3rd Wall,Crush Me Down,3rd-wall,crush-me-down,3rd-wall,crush-me-down,2024-07-16,https://storage.googleapis.com/music8-json-prod/data/songs/3rd-wall_crush-me-down.json
91e11ddc-a3f9-4214-a139-1bfadbf3f1be,4 Non Blondes - What's Up,4 Non Blondes,What's Up,,,4-non-blondes,whats-up,,https://storage.googleapis.com/music8-json-prod/data/songs/4-non-blondes_whats-up.json
2d158052-7aca-4fd7-bac8-00876a42f240,42 Dugg - We Paid,42 Dugg,We Paid,42-dugg,we-paid,42-dugg,we-paid,2020-04-30,https://storage.googleapis.com/music8-json-prod/data/songs/42-dugg_we-paid.json
339283d2-055f-4387-b854-ec055aa5efec,4batz - Sick,4batz,Sick,4batz,sick,4batz,sick,2024-11-12,https://storage.googleapis.com/music8-json-prod/data/songs/4batz_sick.json
f041cf75-fc78-4c49-a4a9-c66f5cb56ba7,4EVE - Girls Like Me,4EVE,Girls Like Me,4eve,girls-like-me,4eve,girls-like-me,2026-02-05,https://storage.googleapis.com/music8-json-prod/data/songs/4eve_girls-like-me.json
