title	parsed_artists	credits	spotify_artists
Manic Street Preachers - Together Stronger	Football Chants / Sports Chants	1	Football Chants, Sports Chants
Peggy Gou - Nabi	Peggy Gou / OHHYUK	1	Peggy Gou, OHHYUK
BIBI - The Weekend	88rising / BIBI	1	88rising, BIBI
Lil Baby - Baby	Lil Baby / Gunna	1	Lil Baby, Gunna
Chaka Khan - Hollywood	Rufus / Chaka Kha	1	Rufus, Chaka Kha
DJ.Fresh - Red Eye	The Musalini / DJ.Fresh	1	The Musalini, DJ.Fresh
KEVU - Incoming!	W&W / Kevu	1	W&W, Kevu
Eric Bellinger - La Perla	Eric Bellinger / B HAM / Corey Cooper	1	Eric Bellinger, B HAM, Corey Cooper
Chaka Khan - Curious Subject	Chaka Khan / COLORS	1	Chaka Khan, COLORS
Stellar - Bad News	Stellar / Black Gryph0n / Baasik	1	Stellar, Black Gryph0n, Baasik
Game - Stainless	The Game / Anderson .Paak	1	The Game, Anderson .Paak
Chaka Khan - Through The Fire	Chaka Khan / COLORS	1	Chaka Khan, COLORS
Fkj - How Much Does It Take To Shift It All	FKJ / Lucy Park	1	FKJ, Lucy Park
Richard Sanderson - Reality	Vladimir Cosma / Richard Sanderson	1	Vladimir Cosma, Richard Sanderson
no na - Sad Face :(	88rising / no na	1	88rising, no na
A$ap Rocky - Wharf Talk	Tyler The Creator / A$AP Rocky	1	Tyler The Creator, A$AP Rocky
Joe - Stutter .	Mystikal / Allen Gordon	1	ジョー, Mystikal, Allen Gordon
Headie One - Don't Rush	Young T & Bugsey / Headie One	1	Young T & Bugsey, Headie One
ZAYN - Cruel	Snakehips / ZAYN	1	Snakehips, ZAYN
The Jimmy Eat World - A Praise Chorus	Jimmy Eat World / Davey Vonbohlen	1	Jimmy Eat World, Davey Vonbohlen
RAYE - Love Me Again	RAYE / Jess Glynne‬	1	RAYE, Jess Glynne‬
Alan Walker - Guaro Con Ron	Sofía Reyes / Alan Walker	1	Sofía Reyes, Alan Walker
BossHoss - I'll Be Back	The BossHoss / Arnold Schwarzenegger	1	The BossHoss, Arnold Schwarzenegger
Steve Aoki - I Love It When You Cry	Steve Aoki / Moxie Raia	1	Steve Aoki, Moxie Raia
Veronicas - The Life Of The Party	The Veronicas / Allday	1	The Veronicas, Allday
BIBI - Best Lover	88rising / BIBI	1	88rising, BIBI
Steve Aoki - Drive	Steve Aoki / KIDDO	1	Steve Aoki, KIDDO
Vini Vici - Rave Mozart	W&W / Vini Vici	1	W&W, Vini Vici
Smoove & Turrell - Don't Go	Brookz Productionz / Dino Smoove	1	Brookz Productionz, Dino Smoove
Kylie Minogue - Where The Wild Roses Grow	Nick Cave & The Bad Seeds / Kylie Minogue	1	Nick Cave & The Bad Seeds, Kylie Minogue
Gwen Dickey - Wishing On A Star	JAŸ-Z / Gwen Dickey	1	JAŸ-Z, Gwen Dickey
Eminem - I'm So Alone	Alonestar / Eminem	1	Alonestar, Eminem
STARSET - Waiting On The Sky To Change	STARSET / Breaking Benjamin, Judge & Jury	1	STARSET, Breaking Benjamin, Judge & Jury
Kneecap - Fenian	KNEECAP / Casiokids	1	KNEECAP, Casiokids
Bonnie McKee - Runaways	The Midnight / Bonnie McKee	1	The Midnight, Bonnie McKee
No Doubt - Underneath It All	No Doubt / Lady Saw	1	No Doubt, Lady Saw
The HU - Wolf Totem	The HU / Jacoby Shaddix	1	The HU, Jacoby Shaddix
Kacey Musgraves - High Horse	Kacey Musgraves / DJ Kue	1	Kacey Musgraves, DJ Kue
Haunt - Masochistic Lovers	The Haunt / Escape the Fate	1	The Haunt, Escape the Fate
Rhea Raj - Pray On It	Rhea Raj / Talwiinder / Yung Raja	1	Rhea Raj, Talwiinder, Yung Raja
Walk the Moon - Lose You Again	WALK THE MOON / BR?VES	1	WALK THE MOON, BR?VES
Bassjackers - Axel F	Dimitri Vegas & Like Mike / Bassjackers	1	Dimitri Vegas & Like Mike, Bassjackers
Depeche Mode - It's No Good	Depeche Mode / Q / Tim Simenon	1	Depeche Mode, Q, Tim Simenon
Claptone - Wanderlust	Claptone / Crusy	1	Claptone, Crusy
Change - Love 4 Love	Change / Dave Lee	1	Change, Dave Lee
Anderson .Paak - Take A Chance	DOMi & JD BECK / Anderson. Paak	1	DOMi & JD BECK, Anderson. Paak
Ömer Bükülmezoğlu - Desert Rain	Edward Maya / Vika Jigulina	1	Edward Maya, Vika Jigulina
Rolling Stones - Mess It Up	The Rolling Stones / Purple Disco Machine	1	The Rolling Stones, Purple Disco Machine
NLE Choppa - Blick	ScarLip / NLE Choppa	1	ScarLip, NLE Choppa
Chainsmokers - Self Destruction Mode	The Chainsmokers / bludnymph	1	The Chainsmokers, bludnymph
米津玄師 - 灰色と青	Kenshi Yonezu / SUDA MASAKI	1	Kenshi Yonezu, SUDA MASAKI
ELETTRA STORM - Hero Among Heroes	Groundation / Don Carlos / Cedric Myton	1	Groundation, Don Carlos, Cedric Myton
Struts - Strange Days	The Struts / Robbie Williams	1	The Struts, Robbie Williams
Scandal - The Warrior	Scandal / Patty Smyth	1	Scandal, Patty Smyth
2econd Cousins - Dreamer	2econd Cousins / 5ifth element / Dee Jackson / Philmore Greene / Pugs Atomz / Nina Rae	1	2econd Cousins, 5ifth element, Dee Jackson, Philmore Greene, Pugs Atomz, Nina Rae
XO - Hotline	Hotline Sehwani / Xoic3s	1	Hotline Sehwani, Xoic3s
BoyWithUke - Pitfall	BoyWithUke / chandol	1	BoyWithUke, chandol
The S.O.S. Band - No Lies	ZOOXXI / Luthea Salom / Cesk Freixas / Caïm Riba / Namina, The Pinker Tones / Raydibaum / Itaca Band / Ol'green, The Lazy Lies / Steven Munar / Quicksand Remedy / Marz / Núria Gago / Mònica Pérez / Jordi Ríos / Leonardo Anselmi / Axel Pi	1	ZOOXXI, Luthea Salom, Cesk Freixas, Caïm Riba, Namina, The Pinker Tones, Raydibaum, Itaca Band, Ol'green, The Lazy Lies, Steven Munar, Quicksand Remedy, Marz, Núria Gago, Mònica Pérez, Jordi Ríos, Leonardo Anselmi, Axel Pi
Don Toliver - Octane	Seldom Seen / Denim / M. Buado	1	Seldom Seen, Denim, M. Buado
Tinie Tempah - Text From Your Ex	Tinie Tempah / Text from Your Ex	1	Tinie Tempah, Text from Your Ex
Lizzo - Sexy Ladies	Lizzo / UCB (Uncalled 4 Band)	1	Lizzo, UCB (Uncalled 4 Band)
Ian Dury - Hit Me With Your Rhythm Stick	Ian Dury / The Blockheads	1	Ian Dury, The Blockheads
Depeche Mode - Personal Jesus	Depeche Mode / Francois Kevorkian	1	Depeche Mode, Francois Kevorkian
Steve Aoki - Tank (From Cowboy Bebop) Steve Aoki Remix	SEATBELTS / Steve Aoki	1	SEATBELTS, Steve Aoki
Shakira - Zoo	Disney / Shakira	1	Disney, Shakira
Thompson Twins - Lay Your Hands On Me	Thompson Twins / James Farber	1	Thompson Twins, James Farber
宇多田ヒカル - Face My Fears (A. G. Cook Remix) Musicvideo	Hikaru Utada / A. G. Cook	1	Hikaru Utada, A. G. Cook
Chainsmokers - Good Intentions	The Chainsmokers / BullySongs	1	The Chainsmokers, BullySongs
Jon Hopkins - Ritual	Jon Hopkins / Vylana / 7RAYS / Ishq / Cherif Hashizume	1	Jon Hopkins, Vylana, 7RAYS, Ishq, Cherif Hashizume
Will Smith - Pretty Girls	Will Smith / OBanga	1	Will Smith, OBanga
Erykah Badu - Witch Doctor	Erykah Badu / The Alchemist	1	Erykah Badu, The Alchemist
Tate McRae - I Know Love	Tate McRae / The Kid LAROI	1	Tate McRae, The Kid LAROI
Kyndle Wylde - Pour Some Sugar On Me	Scott Bradlee's Postmodern Jukebox / Kyndle Wylde	1	Scott Bradlee's Postmodern Jukebox, Kyndle Wylde
Mary J. Blige - Here With Me	Mary J. Blige / Anderson. Paak	1	Mary J. Blige, Anderson. Paak
Chainsmokers - Helium	The Chainsmokers / Anna Sofia	1	The Chainsmokers, Anna Sofia
Halflives - Rockstar Everyday	Halflives / MC4D	1	Halflives, MC4D
Something Corporate - Happy	Something Corporate / Andrew McMahon	1	Something Corporate, Andrew McMahon
Angelina Jordan - Bad Valentine	Toby Gad / Angelina Jordan	1	Toby Gad, Angelina Jordan
Carly Rae Jepsen - Move Me	Lewis Of Man / Carly Rae Jepsen	1	Lewis Of Man, Carly Rae Jepsen
Weeknd - Double Fantasy	The Weeknd / Future	1	The Weeknd, Future
Doechii - Anxiety	Sleepy Hallow / Doechii	1	Sleepy Hallow, Doechii
Micah McLaurin - Macarthur Park	Micah McLaurin / Amber Riley v	1	Micah McLaurin, Amber Riley v
Chad Kroeger - Ragdoll	The Lottery Winners / Chad Kroeger	1	The Lottery Winners, Chad Kroeger
Change - Let's Go Together	Change / P. Slade	1	Change, P. Slade
Zedd - Happy Now	Zedd / Elley Duh?	1	Zedd, Elley Duh?
Martin Garrix - Butterflies	Martin Garrix, Matisse & Sadko / BARBZ	1	Martin Garrix, Matisse & Sadko, BARBZ
Camila Cabello - Bad Things	mgk / Camila Cabello	1	mgk, Camila Cabello
Danny Boy - My Everything	Danny Boy / Danny Boy	1	Danny Boy, Danny Boy
Depeche Mode - Suffer Well	Depeche Mode / Steve Fitzmaurice	1	Depeche Mode, Steve Fitzmaurice
Chicane - Don't Give Up	Chicane / Bryan Adams, Agnelli & Nelson	1	Chicane, Bryan Adams, Agnelli & Nelson
Rob Dougan - Clubbed To Death	Rob Dougan / Maxence Cyrin	1	Rob Dougan, Maxence Cyrin
ash - Keep Dreaming	Ash / Antosh / Anthony Neale	1	Ash, Antosh, Anthony Neale
John Davis and the Monster Orchestra - I Can't Stop	John Davis & The Monster Orchestra / DJ Jazzy Jeff / Louie Vega	1	John Davis & The Monster Orchestra, DJ Jazzy Jeff, Louie Vega
Lalah Hathaway - 47th Street	Lalah Hathaway / J. Ivy	1	Lalah Hathaway, J. Ivy
Marie Davidson - Y.a.a.m.	Marie Davidson / Soulwax	1	Marie Davidson, Soulwax
Fetty Wap - White Roses	Fetty Wap / Divinity / Ymanie	1	Fetty Wap, Divinity, Ymanie
HOME - Tell Me	lavender home / soave lofi	1	lavender home, soave lofi
Knocks - The Hero	The Knocks / Dragonette	1	The Knocks, Dragonette
Prof - Good Time Boy	Prof / Fueled by 808	1	Prof, Fueled by 808
Emma Smith - Lovesong	Scott Bradlee's Postmodern Jukebox / Emma Smith	1	Scott Bradlee's Postmodern Jukebox, Emma Smith
Robert Smith - Girls Float + Boys Cry	✝✝✝ (Crosses) / Robert Smith	1	✝✝✝ (Crosses), Robert Smith
Ultra Naté - Movin’ To The Sun	HUGEL / Imael Angel / Ultra Naté	1	HUGEL, Imael Angel, Ultra Naté
Knocks - Dreams	The Knocks / Dragonette	1	The Knocks, Dragonette
IDLES - Rabbit Run	Caught Stealing Movie / IDLES	1	Caught Stealing Movie, IDLES
Depeche Mode - Precious	Depeche Mode / Steve Fitzmaurice	1	Depeche Mode, Steve Fitzmaurice
Knocks - Love Me Alive	The Knocks / Dragonette	1	The Knocks, Dragonette
Erykah Badu - Next To You	Erykah Badu / The Alchemist	1	Erykah Badu, The Alchemist
Grace VanderWaal - Babydoll	Grace VanderWaal / Aliyah's Interlude	1	Grace VanderWaal, Aliyah's Interlude
Aldous Harding - Venus In The Zinnia	Aldous Harding / H. Hawkline	1	Aldous Harding, H. Hawkline
Modern Talking - You're My Heart, You're My Soul	Modern Talking / Eric Singleton	1	Modern Talking, Eric Singleton
a-ha - Hunting High And Low	a-ha / John Ratcliff	1	a-ha, John Ratcliff
Cardinals - Over At Last	Pyotr Ilyich Tchaikovsky / Royal Philharmonic Orchestra / Lucy Parham / Philip Ellis	1	Pyotr Ilyich Tchaikovsky, Royal Philharmonic Orchestra, Lucy Parham, Philip Ellis
Fred Durst - Fix Ur Face	mgk / Fred Durst	1	mgk, Fred Durst
